"species","Sample","treat","metric","herb","omni","pred","total","pred_herb","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity","herb_mg"
"ERFA","ERFA6","T","mg",7.4701664572829,4.66805519191317,4.78795317707711,16.9261748262732,0.39445260726428,NA,477.73,NA,NA,NA,"Y",1.3,0.71,18,0.0254081210080926
"ERFA","ERFA7","C","abun",24,2,4,30,0.153846153846154,10.366,955.46,"4:25",265,4.41666666666667,"Y",1.56,0.87,35,0.0272120235279342
"ERFA","ERFA7","C","mg",6.75029054793654,1.81642160754831,3.72201330718756,12.2887254626724,0.434473954491926,10.366,955.46,"4:25",265,4.41666666666667,"Y",1.56,0.87,35,0.00896606048969591
"ERFA","ERFA8","T","abun",27,0,1,28,0.037037037037037,14.982,1042.32,"3:30",210,3.5,"Y",1.51,0.66,30,0.0259037531660143
"ERFA","ERFA8","T","mg",5.32927983105914,0,2.27875315448393,7.60803298554308,0.427591199321777,14.982,1042.32,"3:30",210,3.5,"Y",1.51,0.66,30,0.00511290182579164
"ERFA","ERFA9","C","abun",10,11,7,28,0.333333333333333,25.013,825.17,"4:55",295,4.91666666666667,"Y",1.6,0.79,24,0.0254493013560842
"ERFA","ERFA9","C","mg",4.33574323636856,2.3565203676873,5.00618655123766,11.6984501552935,0.748055792094568,25.013,825.17,"4:55",295,4.91666666666667,"Y",1.6,0.79,24,0.00811016348637961
"ERPA","ERPA1","T","abun",5,1,1,7,0.166666666666667,9.669,542.24,"2:58",178,2.96666666666667,"Y",1.14,1.12,30,0.0110652109766893
"ERPA","ERPA1","T","mg",7.37906898412582,0.653516130647452,0.932973516127979,8.96555863090125,0.11614860008294,9.669,542.24,"2:58",178,2.96666666666667,"Y",1.14,1.12,30,0.0148137081638634
"ERPA","ERPA10","C","abun",10,1,3,14,0.272727272727273,12.456,847.25,"3:17",197,3.28333333333333,"N",1.21,1.01,25,0.0129831808793154
"ERPA","ERPA10","C","mg",4.0505076372147,0.00529158468263005,3.95762770880861,8.01342693070594,0.97579477984051,12.456,847.25,"3:17",197,3.28333333333333,"N",1.21,1.01,25,0.00478701590073453
"ERPA","ERPA11","T","abun",13,0,3,16,0.230769230769231,6.26,508.35,"2:39",159,2.65,"Y",1.31,0.7,18,0.0255729320350152
"ERPA","ERPA11","T","mg",1.12732463349785,0,1.26897515794302,2.39629979144087,1.12565193754852,6.26,508.35,"2:39",159,2.65,"Y",1.31,0.7,18,0.00221761509491068
"ERPA","ERPA12","T","abun",11,3,4,18,0.285714285714286,9.333,643.91,"2:40",160,2.66666666666667,"N",0.87,0.88,11,0.0217421689366526
"ERPA","ERPA12","T","mg",5.31010762562637,0.540905664538888,3.79573305818718,9.64674634835244,0.648730889838737,9.333,643.91,"2:40",160,2.66666666666667,"N",0.87,0.88,11,0.00908669424324092
"ERPA","ERPA13","T","abun",25,0,2,27,0.08,10.743,948.92,"4:02",242,4.03333333333333,"N",1.3,0.89,15,0.0263457404206888
