"species","iter","p","sum","n","observed"
"ENCA","Y",0.118,118,1000,0.0118456828163464
"ENCA","X",0.066,66,1000,0.0131552006896703
"ENCA","W",0.351,351,1000,0.00536926893102601
"ENCA","V",0.264,264,1000,0.00667878680434993
"ENCA","U",0.03,30,1000,0.0212619480330825
"ENCA","T",0.917,917,1000,-0.0124126899218311
"ENCA","S",1,1000,1000,-0.0188891038071515
"ENCA","R",0.739,739,1000,-0.00430594257841894
"ENCA","Q",0.587,587,1000,-0.00299642470509503
"ENCA","P",0.953,953,1000,-0.0141500032089708
"ENCA","O",0.46,460,1000,0.000433158019761723
"ENCA","N",0.425,425,1000,0.00174267589308564
"ENCA","M",0.808,808,1000,-0.00604325586555862
"ENCA","L",0.755,755,1000,-0.0047337379922347
"ENCA","K",0.197,197,1000,0.00984942323649784
"ENCA","J",0.975,975,1000,-0.018334047161294
"ENCA","I",0.642,642,1000,-0.00375088593256142
"ENCA","H",0.552,552,1000,-0.0024413680592375
"ENCA","G",0.886,886,1000,-0.0102272998178818
"ENCA","F",0.861,861,1000,-0.00891778194455784
"ENCA","E",0.302,302,1000,0.0056653792841747
"ENCA","D",0.745,745,1000,-0.00548819921970109
"ENCA","C",0.704,704,1000,-0.00417868134637718
"ENCA","B",0.179,179,1000,0.0104044798823554
"ENCA","A",0.352,352,1000,0.00392806599703503
"ARDO","I1",0.041,41,1000,0.0696917521872117
"ARDO","H1",0.056,56,1000,0.0525166537986616
"ARDO","G1",0.128,128,1000,0.0428625995866213
"ARDO","F1",0.217,217,1000,0.0359361360477503
"ARDO","E1",0.166,166,1000,0.0395355141876323
"ARDO","D1",0.104,104,1000,0.049927543828207
"ARDO","C1",0.143,143,1000,0.0402734896161667
"ARDO","B1",0.253,253,1000,0.0333470260772957
"ARDO","A1",0.171,171,1000,0.0369464042171777
"ARDO","Z",0.289,289,1000,0.0230983912276166
"ARDO","Y",0.339,339,1000,0.0161719276887456
"ARDO","X",0.323,323,1000,0.0197713058286276
"ARDO","W",0.424,424,1000,0.00651787347670531
"ARDO","V",0.379,379,1000,0.0101172516165873
"ARDO","U",0.504,504,1000,0.00319078807771633
"ARDO","T",0.371,371,1000,0.0140822762876317
"ARDO","S",0.477,477,1000,0.0044282220755914
"ARDO","R",0.552,552,1000,-0.00249824146327957
"ARDO","Q",0.534,534,1000,0.00110113667660242
"ARDO","P",0.576,576,1000,-0.0127468763129587
"ARDO","O",0.672,672,1000,-0.0196733398518297
"ARDO","N",0.608,608,1000,-0.0160739617119477
"ARDO","M",0.788,788,1000,-0.02932739406387
"ARDO","L",0.739,739,1000,-0.025728015923988
"ARDO","K",0.883,883,1000,-0.032654479462859
"ARDO","J",0.602,602,1000,-0.0153359862834133
"ARDO","I",0.712,712,1000,-0.0222624498222843
"ARDO","H",0.657,657,1000,-0.0186630716824023
"ARDO","G",0.835,835,1000,-0.0319165040343246
"ARDO","F",0.768,768,1000,-0.0283171258944426
"ARDO","E",0.897,897,1000,-0.0352435894333136
"ARDO","D",0.946,946,1000,-0.0490916024228747
"ARDO","C",0.911,911,1000,-0.0454922242829927
"ARDO","B",0.973,973,1000,-0.0524186878218637
"ARDO","A",1,1000,1000,-0.062072742033904
"ARCA","I1",0.121,121,1000,0.0101220375871601
"ARCA","H1",0.226,226,1000,0.00821840279960837
"ARCA","G1",0.393,393,1000,0.00595246537981594
