"species","variable","C_mean","C_se","C_sd","C_n","T_mean","T_se","T_sd","T_n","yi","vi","sei","zi","ci.lb","ci.ub"
"SAAP","herb_omni_mg_dens",0.0113747878467149,0.00223394799670317,0.00499525957882777,5,0.0243068040607881,0.00349558207127246,0.0098869991471635,8,-0.759356999829853,0.0592524360743762,0.243418232830608,-3.11955678504281,-1.23644796935823,-0.282266030301476
"SAME","omni_mg_dens",0.000895582414741305,0.000352198389898314,0.000704396779796628,5,0.00175235933228777,0.00113836719091413,0.00321978864070266,8,-0.671244099442985,0.545729690577424,0.738735196519987,-0.908639662229528,-2.11913847873428,0.776650279848309
"SAME","herb_mg_dens",0.0141974583956494,0.00582488414151398,0.011649768283028,5,0.0164586109796315,0.00328235183080139,0.00928389295119898,8,-0.147785841693981,0.17443406551972,0.417653044427692,-0.353848352515881,-0.966370766805764,0.670799083417802
"SAME","pred_mg_dens",0.000479972090880115,0.000479972090880115,0.00095994418176023,5,0.0123182412492583,0.00301497723312922,0.0085276433866749,8,-3.24510851294317,0.859906047055347,0.927311192133119,-3.49948166319265,-5.06260505198498,-1.42761197390135
"SAME","plant_total_mg_dens",0.0155730129012708,0.00586402185807254,0.0117280437161451,5,0.0305292115611775,0.00493202769163094,0.0139498809030083,8,-0.673144507410571,0.139530828669009,0.373538255964512,-1.8020764852383,-1.40526603594892,0.0589770211277765
"SAME","iph_mg_omni",0.048706351642202,0.048706351642202,0.108910713207972,5,0.956555421543882,0.366400028656877,1.03633577956089,8,-2.97752928377496,1.1467204745007,1.07085035112321,-2.7805279053715,-5.07635740480852,-0.878701162741395
"SAME","iph_abun_omni",0.0363636363636364,0.0363636363636364,0.0813115628181743,5,0.218426365301365,0.0356323212095326,0.100783423826711,8,-1.79287968251938,1.02661203655604,1.01321865189901,-1.76948941786564,-3.77875174870566,0.192992383666895
"SAME","iph_mg",0.0547910418596416,0.0547910418596416,0.122516494156195,5,1.18680444029754,0.510397675651188,1.44362263021923,8,-3.07549291893628,1.18495200804414,1.08855500919528,-2.82529857743235,-5.2090215321497,-0.941964305722865
"SAME","iph_abun",0.05,0.05,0.11180339887499,5,0.246106442577031,0.0377267014125398,0.106707225602428,8,-1.59374113032199,1.02349912568473,1.01168133603657,-1.57533906532835,-3.57660011278502,0.389117852141051
"SAME","herb_omni_mg_dens",0.0150930408103907,0.00603848412351869,0.0120769682470374,5,0.0182109703119192,0.0032297496510304,0.00913511151911391,8,-0.187790412782432,0.159507450983739,0.399383839161951,-0.470200329528814,-0.970568353547194,0.59498752798233
