Appendix S4. List of the species of PhytoPhylo (a megaphylogeny of plants in the world),,
Acanthophoenix rubra,(Bory) H.Wendl.,kew-1612
Acanthopsis disperma,Harv.,kew-2615144
Acanthosicyos horridus,Welw. ex Hook.f.,kew-2615175
Acanthosicyos naudinianus,(Sond.) C.Jeffrey,kew-2615176
Acanthospermum australe,(Loefl.) Kuntze,gcc-76043
Acanthospermum hispidum,DC.,gcc-25407
Acanthostachys strobilacea,(Schult. & Schult.f.) Klotzsch,kew-217373
Acanthosyris asipapote,M.Nee,kew-2615194
Acanthosyris falcata,Griseb.,kew-2615196
Acanthus ebracteatus,Vahl,kew-2615237
Acanthus hungaricus,(Borbás) Baen.,kew-2615256
Acanthus ilicifolius,L.,kew-2615257
Acanthus mollis,L.,kew-2615276
Acanthus montanus,(Nees) T.Anderson,kew-2615278
Acanthus pubescens,(Oliv.) Engl.,kew-2615289
Acanthus spinosus,L.,kew-2615301
Acca sellowiana,(O.Berg) Burret,kew-1641
Acer acuminatum,Wall. ex D.Don,kew-2615357
Acer argutum,Maxim. ex Miq.,kew-2615378
Acer barbinerve,Maxim. ex Miq.,kew-2615400
Acer buergerianum,Miq.,kew-2615419
Acer campbellii,Hook.f. & Thomson ex Hiern,kew-2615436
Acer campestre,L.,kew-2615447
Acer capillipes,Maxim. ex Miq.,kew-2615472
Acer cappadocicum,Gled.,kew-2615475
Acer cappadocicum ssp. lobelii,(Ten.) A.E.Murray,kew-2615485
Acer carpinifolium,Siebold & Zucc.,kew-2615502
Acer caudatifolium,Hayata,kew-2615506
Acer caudatum,Wall.,kew-2615507
Acer circinatum,Pursh,kew-2615530
Acer cissifolium,(Siebold & Zucc.) K.Koch,kew-2615536
Acer cordatum,Pax,kew-2615548
Acer crataegifolium,Siebold & Zucc.,kew-2615559
Acer davidii,Franch.,kew-2615577
Acer diabolicum,Blume ex K.Koch,kew-2615585
Acer distylum,Siebold & Zucc.,kew-2615595
Acer erianthum,Schwer.,kew-2615607
Acer fabri,Hance,kew-2615616
Acer glabrum,Torr.,kew-2615664
Acer griseum,(Franch.) Pax,kew-2615692
Acer heldreichii,Orph. ex Boiss.,kew-2615704
Acer heldreichii ssp. trautvetteri,(Medw.) A.E.Murray,kew-2615708
Acer henryi,Pax,kew-2615711
Acer japonicum,Thunb.,kew-2615790
Acer laevigatum,Wall.,kew-2615828
Acer laurinum,Hassk.,kew-2615844
Acer macrophyllum,Pursh,kew-2615900
Acer mandshuricum,Maxim.,kew-2615913
Acer maximowiczianum,Miq.,kew-2615924
Acer micranthum,Siebold & Zucc.,kew-2615938
Acer miyabei,Maxim.,kew-2615945
Acer monspessulanum,L.,kew-2615976
Acer monspessulanum ssp. ibericum,(M.Bieb. ex Willd.) Yalt.,kew-2615988
Acer morifolium,Koidz.,kew-2616009
Acer negundo,L.,kew-2616024
Acer nipponicum,H.Hara,kew-2616077
Acer oblongum,Wall. ex DC.,kew-2616086
Acer obtusifolium,Sm.,kew-2616102
Acer oliverianum,Pax,kew-2616107
Acer opalus,Mill.,kew-2616113
Acer palmatum,Thunb.,kew-2616153
Acer pectinatum,Wall. ex G.Nicholson,kew-2616197
Acer pectinatum ssp. laxiflorum,(Pax) A.E.Murray,kew-2616202
Acer pensylvanicum,L.,kew-2616210
Acer pictum,Thunb.,kew-2616218
Acer pilosum,Maxim.,kew-2616248
Acer platanoides,L.,kew-2616254
Acer pseudoplatanus,L.,kew-2616276
Acer pseudosieboldianum,(Pax) Kom.,kew-2616285
Acer pycnanthum,K.Koch,kew-2616307
Acer rubrum,L.,kew-2616329
Acer rufinerve,Siebold & Zucc.,kew-2616360
Acer saccharinum,L.,kew-2616367
Acer saccharum,Marshall,kew-2616387
Acer saccharum ssp. grandidentatum,(Torr. & A.Gray) Desmarais,kew-2616402
Acer shirasawanum,Koidz.,kew-2616452
Acer sieboldianum,Miq.,kew-2616457
Acer spicatum,Lam.,kew-2616481
Acer stachyophyllum,Hiern,kew-2616485
Acer sterculiaceum,Wall.,kew-2616495
Acer tataricum,L.,kew-2616524
Acer tegmentosum,Maxim.,kew-2616545
Acer triflorum,Kom.,kew-2616582
Acer truncatum,Bunge,kew-2616594
Acer tschonoskii,Maxim.,kew-2616598
Acer velutinum,Boiss.,kew-2616618
Aceratium concinnum,(S.Moore) C.T.White,kew-2616707
Aceratium ferrugineum,C.T.White,kew-2616713
Aceratium sericoleopsis,Balgooy,kew-2616729
Acharia tragodes,Thunb.,kew-4617230
Achatocarpus praecox,Griseb.,kew-2617245
Achillea acuminata,(Ledeb.) Sch.Bip.,gcc-129408
Achillea arabica,Kotschy,gcc-96275
Achillea aspleniifolia,Vent.,gcc-45689
Achillea atrata,L.,gcc-14881
Achillea clavennae,L.,gcc-105259
Achillea clusiana,Tausch,gcc-45039
Achillea clypeolata,Sm.,gcc-34553
Achillea collina,(Becker ex Rchb.f.) Heimerl,gcc-27395
Achillea distans,Waldst. & Kit. ex Willd.,gcc-93527
Achillea erba-rotta,All.,gcc-51344
Achillea erba-rotta ssp. moschata,(Wulfen) I.Richardson,gcc-23438
Achillea filipendulina,Lam.,gcc-139741
Achillea fragrantissima,(Forssk.) Sch.Bip.,gcc-52604
Achillea grandifolia,Friv.,gcc-141796
Achillea leptophylla,M.Bieb.,gcc-24987
Achillea macrophylla,L.,gcc-28621
Achillea membranacea,(Labill.) DC.,gcc-52144
Achillea millefolium,L.,gcc-140712
Achillea nana,L.,gcc-24761
Achillea nobilis,L.,gcc-48678
Achillea ptarmica,L.,gcc-132682
Achillea roseo-alba,Ehrend.,gcc-130562
Achillea santolinoides,Lag.,gcc-129321
Achillea seidlii,J.Presl & C.Presl,gcc-115065
Achillea setacea,Waldst. & Kit.,gcc-109561
Achimenes cettoana,H.E.Moore,kew-2617283
Achlys triphylla,DC.,kew-2617402
Achnophora tatei,F.Muell.,gcc-93157
Achyrachaena mollis,Schauer,gcc-8778
Achyranthes arborescens,R.Br.,kew-2617471
Achyranthes aspera,L.,kew-2617475
Achyranthes bidentata,Blume,kew-2617516
Achyronychia cooperi,A.Gray,kew-2617958
Achyropsis leptostachya,(E.Mey. ex Meisn.) Benth. & Hook.f. ex B.D.Jacks.,kew-2617972
Achyrospermum carvalhoi,Gürke,kew-1817
Achyrospermum cryptanthum,Baker,kew-1819
Achyrospermum laterale,Baker,kew-1824
Achyrospermum schimperi,(Hochst. ex Briq.) Perkins,kew-1836
Acianthera fenestrata,(Barb.Rodr.) Pridgeon & M.W.Chase,kew-217492
Acianthera ochreata,(Lindl.) Pridgeon & M.W.Chase,kew-217567
Acianthera prolifera,(Herb. ex Lindl.) Pridgeon & M.W.Chase,kew-217588
Acianthera saurocephala,(Lodd.) Pridgeon & M.W.Chase,kew-217608
Acianthera sicaria,(Lindl.) Pridgeon & M.W.Chase,kew-217612
Acianthus caudatus,R.Br.,kew-1857
Acianthus cymbalariifolius,F.Muell. & Kraenzl.,kew-1865
Acianthus elegans,Rchb.f.,kew-1866
Acianthus exsertus,R.Br.,kew-1868
Acicarpha tribuloides,Juss.,kew-2617993
Acidocroton trichophyllus,Urb.,kew-1922
Acidonia microcarpa,(R.Br.) L.A.S.Johnson & B.G.Briggs,kew-2617998
Acidoton nicaraguensis,(Hemsl.) G.L.Webster,kew-1943
Acidoton urens,Sw.,kew-1949
Acineta chrysantha,(C.Morren) Lindl.,kew-1960
Acineta superba,(Kunth) Rchb.f.,kew-1980
Acinodendron foveolatum,(Cogn.) Kuntze,tro-50318479
Acinodendron sintenisii,(Cogn.) Kuntze,tro-50318383
Acinodendron tetrandrum,(Sw.) Kuntze,tro-50318059
Acinodendron thomasianum,(DC.) Kuntze,tro-50318061
Acioa guianensis,Aubl.,kew-360160
Aciphylla aurea,W.R.B.Oliv.,kew-2618013
Aciphylla monroi,Hook.f.,kew-2618046
Aciphylla subflabellata,W.R.B.Oliv.,kew-2618062
Acis autumnalis,(L.) Sweet,kew-293461
Acis nicaeensis,"""(Ardoino) Lledó, A.P.Davis & M.B.Crespo""",kew-309233
Acis tingitana,"""(Baker) Lledó, A.P.Davis & M.B.Crespo""",kew-309234
Acis trichophylla,G.Don,kew-309235
Acleisanthes lanceolata,(Wooton) R.A.Levin,kew-2618097
Acleisanthes longiflora,A.Gray,kew-2618100
Acmadenia rupicola,I.Williams,kew-2618159
Acmanthera latifolia,(Juss.) Griseb.,kew-2618174
Acmella oppositifolia,(Lam.) R.K.Jansen,gcc-116244
Acmella radicans,(Jacq.) R.K.Jansen,gcc-34111
Acmispon americanus,(Nutt.) Rydb.,ild-17080
Acmispon brachycarpus,(Benth.) D.D.Sokoloff,ild-41081
Acmispon denticulatus,(Drew) D.D.Sokoloff,ild-40665
Acmispon maritimus,(Nutt.) D.D.Sokoloff,ild-41105
Acmispon parviflorus,(Benth.) D.D.Sokoloff,ild-41084
Acmispon wrangelianus,(Fisch. & C.A.Mey.) D.D.Sokolof,ild-41426
Acmopyle pancheri,(Brongn. & Gris) Pilg.,kew-2618202
Acmopyle sahniana,Buchholz & N.E.Gray,kew-2618203
Acnistus arborescens,(L.) Schltdl.,kew-2618239
Acoelorrhaphe wrightii,(Griseb. & H.Wendl.) H.Wendl. ex Becc.,kew-2153
Acokanthera oblongifolia,(Hochst.) Benth. & Hook.f. ex B.D.Jacks.,kew-2164
Acokanthera oppositifolia,(Lam.) Codd,kew-2165
Acokanthera rotundata,(Codd) Kupicha,kew-2169
Acomis acoma,(F.Muell.) Druce,gcc-98253
Aconitum anthora,L.,kew-2618374
Aconitum artemisiifolium,A.I.Baranov & Skvortsov,kew-2618392
Aconitum brunneum,Hand.-Mazz.,kew-2618464
Aconitum carmichaelii,Debeaux,kew-2618501
Aconitum columbianum,Nutt.,kew-2618552
Aconitum delphinifolium,DC.,kew-2618618
Aconitum flavum,Hand.-Mazz.,kew-2618716
Aconitum gymnandrum,Maxim.,kew-2618782
Aconitum henryi,E.Pritz. ex Diels,kew-2618812
Aconitum heterophyllum,Wall. ex Royle,kew-2618818
Aconitum lycoctonum,L.,kew-2619019
Aconitum nagarum,Stapf,kew-2619096
Aconitum napellus,L.,kew-2619110
Aconitum orientale,Mill.,kew-2619270
Aconitum racemulosum,Franch.,kew-2619414
Aconitum septentrionale,Koelle,kew-2619505
Aconitum sinomontanum,Nakai,kew-2619523
Aconitum tanguticum,(Maxim.) Stapf,kew-2619596
Aconitum variegatum,L.,kew-2619691
Aconitum yuparense,Takeda,kew-2619809
Aconogonon divaricatum,(L.) Nakai,kew-2619845
Aconogonon molle,(D.Don) H.Hara,kew-2619863
Aconogonon songoricum,(Schrenk) H.Hara,kew-2619901
Acorus calamus,L.,kew-2304
Acorus calamus var. americanus,Raf.,kew-2305
Acorus gramineus,Aiton,kew-2322
Acosmium dasycarpum,(Vogel) Yakovlev,ild-10647
Acosmium panamense,(Benth.) Yakovlev,ild-30591
Acourtia microcephala,DC.,gcc-11175
Acourtia runcinata,(Lag. ex D.Don) B.L.Turner,gcc-80909
Acrachne racemosa,(B.Heyne ex Roth) Ohwi,kew-387366
Acranthera atropella,Stapf,kew-2373
Acranthera frutescens,Valeton,kew-2381
Acridocarpus alternifolius,(Schumach. & Thonn.) Nied.,kew-2619963
Acridocarpus excelsus,A.Juss.,kew-2619976
Acridocarpus longifolius,(G.Don) Hook.f.,kew-2619992
Acridocarpus macrocalyx,Engl.,kew-2619994
Acridocarpus natalitius,A.Juss.,kew-2619997
Acridocarpus orientalis,A.Juss.,kew-2620000
Acridocarpus smeathmanii,(DC.) Guill. & Perr.,kew-2620011
Acriopsis liliifolia,(J.Koenig) Seidenf.,kew-2437
Acrisione denticulata,(Hook. & Arn.) B.Nord.,gcc-51126
Acrocarpus fraxinifolius,Arn.,ild-678
Acrocomia aculeata,(Jacq.) Lodd. ex Mart.,kew-2570
Acrocomia crispa,(Kunth) C.F.Baker ex Becc.,kew-2577
