"Sample","sp","Order","value","feed","ID","size"
"ENCA6","ENCA","COLE",1,"herb","8","S"
"ENCA7","ENCA","COLE",15,"herb","8","S"
"ENCA8","ENCA","COLE",10,"herb","8","L"
"ENCA8","ENCA","COLE",2,"herb","8","S"
"ENCA9","ENCA","COLE",2,"herb","8","L"
"ENCA9","ENCA","COLE",7,"herb","8","S"
"ERFA10","ERFA","COLE",1,"herb","8","L"
"ERFA11","ERFA","COLE",5,"herb","8","S"
"ERFA12","ERFA","COLE",2,"herb","8","L"
"ERFA12","ERFA","COLE",6,"herb","8","S"
"ERFA2","ERFA","COLE",1,"herb","8","L"
"ERFA2","ERFA","COLE",3,"herb","8","S"
"ERFA3","ERFA","COLE",1,"herb","8","L"
"ERFA4","ERFA","COLE",1,"herb","8","L"
"ERFA4","ERFA","COLE",1,"herb","8","S"
"ERFA5","ERFA","COLE",5,"herb","8","S"
"ERFA6","ERFA","COLE",1,"herb","8","L"
"ERFA6","ERFA","COLE",2,"herb","8","S"
"ERFA7","ERFA","COLE",10,"herb","8","S"
"ERFA9","ERFA","COLE",7,"herb","8","S"
"ERPA1","ERPA","COLE",1,"herb","8","L"
"ERPA12","ERPA","COLE",3,"herb","8","S"
"ERPA3","ERPA","COLE",1,"herb","8","S"
"ERPA3.1","ERPA","COLE",1,"herb","8","L"
"ERPA7","ERPA","COLE",1,"herb","8","S"
"ERPA8","ERPA","COLE",17,"herb","8","S"
"ISME5","ISME","COLE",1,"herb","8","S"
"ISME6","ISME","COLE",28,"herb","8","L"
"LUAL10","LUAL","COLE",2,"herb","8","L"
"LUAL10","LUAL","COLE",1,"herb","8","S"
"LUAL13","LUAL","COLE",2,"herb","8","S"
"LUAL14","LUAL","COLE",2,"herb","8","L"
"LUAL2","LUAL","COLE",4,"herb","8","S"
"LUAL3","LUAL","COLE",1,"herb","8","L"
"LUAL3","LUAL","COLE",3,"herb","8","S"
"LUAL6.2","LUAL","COLE",1,"herb","8","S"
