"species","Sample","treat","Order","feed","abundance","S","L","bm_name","a","b","S_bm","L_bm","total_bm"
"ISME","ISME11","C","COLE","herb",24,2,22,"COLE",0.041,2.64,0.082,35.0465211431786,35.1285211431786
"ISME","ISME12","C","COLE","herb",20,12,8,"COLE",0.041,2.64,0.492,12.7441895066104,13.2361895066104
"ISME","ISME13","C","COLE","herb",21,5,16,"COLE",0.041,2.64,0.205,25.4883790132208,25.6933790132208
"ISME","ISME9","C","COLE","herb",15,5,10,"COLE",0.041,2.64,0.205,15.930236883263,16.135236883263
"ISME","ISME13","C","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"ISME","ISME10","C","HETE","pred",2,2,0,"HETE",0.0341,2.688,0.0682,0,0.0682
"ISME","ISME12","C","HETE","pred",2,2,0,"HETE",0.0341,2.688,0.0682,0,0.0682
"ISME","ISME11","C","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"ISME","ISME12","C","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"ISME","ISME12","C","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"ISME","ISME11","C","STER","herb",7,7,0,"STER",0.0598,1.724,0.4186,0,0.4186
"ISME","ISME12","C","STER","herb",4,4,0,"STER",0.0598,1.724,0.2392,0,0.2392
"ISME","ISME9","C","STER","herb",8,8,0,"STER",0.0598,1.724,0.4784,0,0.4784
"ISME","ISME1","T","ARAN","pred",3,2,1,"ARAN",0.1044,2.296,0.2088,2.51785223292632,2.72665223292632
"ISME","ISME3","T","ARAN","pred",2,0,2,"ARAN",0.1044,2.296,0,5.03570446585264,5.03570446585264
"ISME","ISME4","T","ARAN","pred",3,1,2,"ARAN",0.1044,2.296,0.1044,5.03570446585264,5.14010446585264
"ISME","ISME5","T","ARAN","pred",3,1,2,"ARAN",0.1044,2.296,0.1044,5.03570446585264,5.14010446585264
"ISME","ISME8","T","ARAN","pred",3,3,0,"ARAN",0.1044,2.296,0.3132,0,0.3132
"ISME","ISME2","T","ARAN","pred",4,3,1,"ARAN",0.1044,2.296,0.3132,2.51785223292632,2.83105223292632
"ISME","ISME2","T","ARCH","herb",1,1,0,"THYS",0.0071,2.537,0.0071,0,0.0071
"ISME","ISME1","T","AUCH","herb",3,3,0,"AUCH",0.0548,2.354,0.1644,0,0.1644
"ISME","ISME4","T","AUCH","herb",2,2,0,"AUCH",0.0548,2.354,0.1096,0,0.1096
"ISME","ISME5","T","AUCH","herb",3,3,0,"AUCH",0.0548,2.354,0.1644,0,0.1644
"ISME","ISME6","T","AUCH","herb",7,6,1,"AUCH",0.0548,2.354,0.3288,1.43228610281054,1.76108610281054
"ISME","ISME7","T","AUCH","herb",1,0,1,"AUCH",0.0548,2.354,0,1.43228610281054,1.43228610281054
"ISME","ISME8","T","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"ISME","ISME1","T","COLE","herb",3,0,3,"COLE",0.041,2.64,0,4.7790710649789,4.7790710649789
"ISME","ISME3","T","COLE","herb",6,0,6,"COLE",0.041,2.64,0,9.55814212995781,9.55814212995781
"ISME","ISME4","T","COLE","herb",14,6,8,"COLE",0.041,2.64,0.246,12.7441895066104,12.9901895066104
"ISME","ISME5","T","COLE","herb",6,1,5,"COLE",0.041,2.64,0.041,7.96511844163151,8.00611844163151
"ISME","ISME6","T","COLE","herb",20,10,10,"COLE",0.041,2.64,0.41,15.930236883263,16.340236883263
