"species","Sample","treat","ID","feed","total","L","S","Adj"
"LUAL","LUAL2","C","HEMI","pred",NA,1,4,NA
"LUAL","LUAL2","C","HYME","pred",NA,0,3,NA
"LUAL","LUAL3","C","HEMI","herb",NA,0,5,NA
"LUAL","LUAL3","C","HEMI","pred",NA,2,1,NA
"LUAL","LUAL4","T","HEMI","herb",NA,2,0,NA
"LUAL","LUAL4","T","HEMI","pred",NA,1,0,NA
"LUAL","LUAL6.2",NA,"ARAN","pred",NA,2,2,NA
"LUAL","LUAL6.2",NA,"COLE","herb",NA,0,1,NA
"LUAL","LUAL6.2",NA,"HEMI","herb",NA,2,0,NA
"LUAL","LUAL6.2",NA,"HEMI","omni",NA,3,1,NA
"LUAL","LUAL6.2",NA,"HEMI","pred",NA,2,0,NA
"LUAL","LUAL6.2",NA,"HYME","pred",NA,1,0,NA
"LUAL","LUAL6.2",NA,"ORTH","herb",NA,1,0,NA
"SAAP","SAAP1","T","COLE","pred",NA,1,0,NA
"SAAP","SAAP1","T","HEMI","herb",NA,3,0,NA
"SAAP","SAAP1","T","HETE","herb",NA,0,8,NA
"SAAP","SAAP1","T","PSCO","herb",NA,0,1,NA
"SAAP","SAAP10","T","HEMI","herb",NA,17,39,NA
"SAAP","SAAP11","T","HEMI","herb",NA,11,22,NA
"SAAP","SAAP11","T","HYME","pred",NA,0,1,NA
"SAAP","SAAP11","T","LEPID","herb",NA,1,0,NA
"SAAP","SAAP12","C","HEMI","herb",NA,10,6,NA
"SAAP","SAAP15","T","HEMI","herb",NA,3,8,NA
"SAAP","SAAP15","T","HEMI","pred",NA,0,1,NA
"SAAP","SAAP2","C","HEMI","herb",NA,6,22,NA
"SAAP","SAAP3","T","COLE","omni",NA,0,3,NA
"SAAP","SAAP3","T","HETE","herb",NA,7,6,NA
"SAAP","SAAP3","T","HYME","pred",NA,0,14,NA
"SAAP","SAAP4","C","COLE","pred",NA,0,1,NA
"SAAP","SAAP4","C","HEMI","herb",NA,8,23,NA
"SAAP","SAAP4","C","HYME","pred",NA,0,3,NA
"SAAP","SAAP5","T","COLE","omni",NA,4,5,NA
"SAAP","SAAP5","T","HEMI","herb",NA,1,4,NA
"SAAP","SAAP6","C","COLE","omni",NA,1,0,NA
"SAAP","SAAP6","C","COLE","pred",NA,0,1,NA
"SAAP","SAAP6","C","HEMI","herb",NA,12,11,NA
"SAAP","SAAP6","C","HYME","pred",NA,0,1,NA
"SAAP","SAAP7","T","HEMI","herb",NA,11,8,NA
"SAAP","SAAP7","T","HYME","pred",NA,0,1,NA
"SAAP","SAAP8","C","HEMI","herb",NA,3,2,NA
"SAAP","SAAP9","T","HEMI","herb",NA,8,9,NA
"SAAP","SAAP9","T","HYME","pred",NA,1,0,NA
"SAME","SAME10","T","HEMI","herb",NA,0,1,NA
"SAME","SAME10","T","HEMI","omni",NA,3,0,NA
"SAME","SAME10","T","HYME","pred",NA,3,0,NA
"SAME","SAME11","C","HEMI","herb",NA,1,3,NA
"SAME","SAME11","C","HEMI","omni",NA,2,1,NA
"SAME","SAME11","C","HYME","pred",NA,0,1,NA
"SAME","SAME12","T","HEMI","herb",NA,0,7,NA
"SAME","SAME12","T","HEMI","pred",NA,0,8,NA
"SAME","SAME3","T","HEMI","herb",NA,4,1,NA
"SAME","SAME3","T","HEMI","omni",NA,0,1,NA
"SAME","SAME4","T","HEMI","herb",NA,0,2,NA
"SAME","SAME4","T","HEMI","pred",NA,18,0,NA
"SAME","SAME4","T","HYME","pred",NA,5,0,NA
"SAME","SAME5","T","HEMI","herb",NA,1,9,NA
"SAME","SAME5","T","HEMI","pred",NA,0,1,NA
"SAME","SAME5","T","HYME","pred",NA,0,1,NA
"SAME","SAME5.2",NA,"COLE","herb",NA,1,1,NA
"SAME","SAME5.2",NA,"HEMI","herb",NA,1,7,NA
"SAME","SAME7","T","COLE","pred",NA,0,1,NA
"SAME","SAME7","T","HEMI","herb",NA,1,3,NA
"SAME","SAME7","T","HYME","pred",NA,0,2,NA
